Job Hours YTD 2023 ,Reg,OT,Total
Admin / office ,30.50,0.00,30.50
Arista / For Five,95.75,6.25,102.00
Coffee Roasters NJ,30.00,0.00,30.00
Comfort foods Green bean system,4.50,0.00,4.50
Comfort Foods Green Bean System,5.00,0.00,5.00
Comfort Foods Roaster Repair,263.00,67.25,330.25
DW General,9.25,0.00,9.25
Empire Coffee - ICA Relocation,26.50,6.50,33.00
Flexipack Hapman Install,21.75,0.00,21.75
FLOAT,7.50,0.00,7.50
GILLIES COFFEE,24.75,0.00,24.75
On-Call,41.00,0.00,41.00
Post Fire Recommissioning,312.00,36.50,348.50
Probat L-12 Troubleshooting,7.00,0.00,7.00
Rival Expansion Project,22.00,0.00,22.00
Stack Street Plant Layout,7.75,0.00,7.75
Uncommon Grounds,15.75,0.00,15.75
White Coffee,73.50,9.25,82.75
White Coffee Mixer job,8.50,0.00,8.50
Grand Total,1006.00,125.75,1131.75